### OUTPUT ###
ID#412 : time : 47, Operation : random-crossover, fitness : 0.984848484848
ID#413 : time : 61, Operation : random-crossover, fitness : -1.0
ID#414 : time : 45, Operation : delete, fitness : -1.0
ID#415 : time : 102, Operation : insert_after, fitness : -1.0
ID#416 : time : 119, Operation : delete, fitness : -1.0
ID#417 : time : 107, Operation : insert_before, fitness : -1.0
ID#418 : time : 93, Operation : replace, fitness : -1.0
ID#419 : time : 14, Operation : random-crossover, fitness : -1.0
ID#420 : time : 42, Operation : random-crossover, fitness : -1.0
ID#421 : time : 96, Operation : insert_before, fitness : -1.0
ID#422 : time : 113, Operation : insert_after, fitness : -1.0
ID#423 : time : 426, Operation : delete, fitness : 0.984848484848
ID#424 : time : 388, Operation : delete, fitness : 0.969696969697
ID#425 : time : 45, Operation : delete, fitness : -1.0
ID#426 : time : 28, Operation : random-crossover, fitness : -1.0
ID#427 : time : 46, Operation : random-crossover, fitness : -1.0
ID#428 : time : 726, Operation : insert_after, fitness : -1.0
ID#429 : time : 45, Operation : delete, fitness : -1.0
ID#430 : time : 401, Operation : delete, fitness : 0.984848484848
ID#431 : time : 102, Operation : replace, fitness : -1.0
ID#432 : time : 561, Operation : insert_after, fitness : -1.0
ID#433 : time : 26, Operation : random-crossover, fitness : -1.0
ID#434 : time : 466, Operation : random-crossover, fitness : 0.984848484848
ID#435 : time : 102, Operation : delete, fitness : -1.0
ID#436 : time : 656, Operation : replace, fitness : -1.0
ID#437 : time : 107, Operation : replace, fitness : -1.0
ID#438 : time : 121, Operation : insert_before, fitness : -1.0
ID#439 : time : 72, Operation : delete, fitness : -1.0
ID#440 : time : 32, Operation : random-crossover, fitness : -1.0
ID#441 : time : 503, Operation : random-crossover, fitness : -1.0
ID#442 : time : 133, Operation : insert_before, fitness : -1.0
ID#443 : time : 122, Operation : replace, fitness : -1.0
ID#444 : time : 125, Operation : delete, fitness : -1.0
ID#445 : time : 131, Operation : replace, fitness : -1.0
ID#446 : time : 70, Operation : replace, fitness : -1.0
ID#447 : time : 26, Operation : random-crossover, fitness : -1.0
ID#448 : time : 27, Operation : random-crossover, fitness : 0.984848484848
ID#449 : time : 395, Operation : delete, fitness : 0.969696969697
ID#450 : time : 99, Operation : delete, fitness : -1.0
ID#451 : time : 88, Operation : replace, fitness : -1.0
